date,location,required,assigned,available,available_T,available_P,reason,c_availability,c_max_per_day,c_max_per_week,c_single_first,c_exclusions
2026-01-08,Amsterdam,1,0,8,4,4,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-08,Hilversum,1,0,4,2,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-09,Amsterdam,1,0,5,1,4,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-14,Amsterdam,1,0,8,2,6,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-15,Amsterdam,1,0,7,3,4,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-15,Hilversum,1,0,3,1,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-16,Amsterdam,1,0,4,1,3,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-21,Amsterdam,1,0,7,2,5,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-22,Amsterdam,1,0,7,3,4,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-22,Hilversum,1,0,4,2,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-23,Amsterdam,1,0,6,3,3,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-29,Amsterdam,1,0,5,1,4,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-29,Hilversum,1,0,4,2,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-01-30,Amsterdam,1,0,4,2,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-05,Amsterdam,1,0,4,2,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-05,Hilversum,1,0,3,2,1,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-06,Amsterdam,1,0,5,2,3,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-11,Amsterdam,1,0,6,1,5,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-12,Amsterdam,1,0,4,1,3,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-12,Hilversum,1,0,3,1,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-13,Amsterdam,1,0,6,2,4,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-18,Amsterdam,1,0,6,1,5,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-19,Amsterdam,1,0,6,3,3,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-19,Hilversum,1,0,5,3,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-20,Amsterdam,1,0,8,4,4,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-26,Amsterdam,1,0,5,3,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-26,Hilversum,1,0,5,3,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-02-27,Amsterdam,1,0,6,3,3,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-03-05,Amsterdam,1,0,4,1,3,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-03-05,Hilversum,1,0,4,2,2,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
2026-03-06,Amsterdam,1,0,8,3,5,"Mogelijk conflict tussen constraints (max per dag/week, single first, uitsluitingen).",False,True,True,True,True
